   12
   -0.9200   40
  645.000000    0.336451    0.071523
  675.000000    0.348304    0.056078
  705.000000    0.392894    0.053742
  735.000000    0.292298    0.027863
  765.000000    0.128802    0.008823
  795.000000    0.060781    0.036250
  825.000000   -0.020233    0.054305
  855.000000   -0.205089    0.050764
  885.000000   -0.329218    0.042041
  915.000000   -0.473222    0.053041
  945.000000   -0.557907    0.067267
  975.000000   -0.605094    0.062298
 1005.000000   -0.643493    0.058092
 1035.000000   -0.644539    0.051930
 1065.000000   -0.645374    0.063041
 1095.000000   -0.623150    0.083832
 1125.000000   -0.637790    0.107099
 1155.000000   -0.483900    0.127534
 1185.000000   -0.568506    0.108013
 1215.000000   -0.596300    0.099143
 1245.000000   -0.510701    0.097824
 1275.000000   -0.539457    0.149028
 1305.000000   -0.507339    0.202114
 1335.000000   -0.344973    0.254442
 1365.000000   -0.236235    0.217353
 1395.000000    0.046864    0.244490
   -0.4167   40
  225.000000   -0.390618    0.091204
  255.000000   -0.615501    0.018083
  285.000000   -0.568953    0.013879
  315.000000   -0.651025    0.011503
  345.000000   -0.633256    0.013073
  375.000000   -0.631593    0.016411
  405.000000   -0.618148    0.019146
  435.000000   -0.609484    0.018859
  465.000000   -0.595213    0.025008
  495.000000   -0.559195    0.031292
  525.000000   -0.416991    0.040688
  555.000000   -0.209378    0.096518
  585.000000   -0.027739    0.057410
  615.000000    0.117027    0.068016
  645.000000    0.196828    0.071772
  675.000000    0.194333    0.089825
  705.000000    0.293164    0.045677
  735.000000    0.213692    0.045933
  765.000000    0.050321    0.033350
  795.000000    0.047133    0.052246
  825.000000   -0.107359    0.078680
  855.000000   -0.270872    0.037146
  885.000000   -0.340244    0.005942
  915.000000   -0.506324    0.056680
  945.000000   -0.591933    0.062390
  975.000000   -0.706511    0.044646
 1005.000000   -0.673264    0.058211
 1035.000000   -0.651315    0.054691
 1065.000000   -0.703551    0.061601
 1095.000000   -0.659430    0.062308
 1125.000000   -0.642934    0.111570
 1155.000000   -0.616514    0.105995
 1185.000000   -0.605490    0.077785
 1215.000000   -0.653315    0.093462
 1245.000000   -0.663279    0.076644
 1275.000000   -0.551502    0.125076
 1305.000000   -0.458737    0.227245
 1335.000000   -0.353959    0.285064
 1365.000000   -0.123304    0.227880
 1395.000000   -0.041097    0.200785
   -0.2497   40
  225.000000   -0.993852    0.066397
  255.000000   -0.762105    0.019250
  285.000000   -0.719517    0.012803
  315.000000   -0.767191    0.009761
  345.000000   -0.718710    0.013386
  375.000000   -0.706186    0.012767
  405.000000   -0.695177    0.012645
  435.000000   -0.645085    0.015436
  465.000000   -0.600967    0.022831
  495.000000   -0.594820    0.070991
  525.000000   -0.463307    0.022274
  555.000000   -0.248217    0.070483
  585.000000   -0.176173    0.020429
  615.000000   -0.038440    0.096320
  645.000000   -0.015686    0.062030
  675.000000    0.038594    0.082250
  705.000000    0.156076    0.060414
  735.000000    0.109648    0.018931
  765.000000    0.019641    0.021449
  795.000000   -0.040493    0.061582
  825.000000   -0.124301    0.066182
  855.000000   -0.257578    0.021579
  885.000000   -0.345612    0.077676
  915.000000   -0.484140    0.052751
  945.000000   -0.558382    0.051448
  975.000000   -0.622471    0.040159
 1005.000000   -0.676839    0.049751
 1035.000000   -0.568675    0.065293
 1065.000000   -0.660611    0.049416
 1095.000000   -0.573618    0.045514
 1125.000000   -0.437852    0.081672
 1155.000000   -0.493732    0.096407
 1185.000000   -0.437737    0.129307
 1215.000000   -0.438708    0.107697
 1245.000000   -0.403978    0.186756
 1275.000000   -0.229686    0.183690
 1305.000000   -0.475842    0.159992
 1335.000000   -0.154525    0.258693
 1365.000000   -0.005482    0.124750
 1395.000000   -0.199402    0.258666
   -0.0801   40
  225.000000   -0.467335    0.106000
  255.000000   -0.879317    0.018085
  285.000000   -0.808397    0.011130
  315.000000   -0.797276    0.008856
  345.000000   -0.825336    0.011349
  375.000000   -0.725253    0.011774
  405.000000   -0.725485    0.013681
  435.000000   -0.673883    0.014001
  465.000000   -0.643593    0.017759
  495.000000   -0.593045    0.016591
  525.000000   -0.471576    0.020758
  555.000000   -0.286410    0.043346
  585.000000   -0.219824    0.058250
  615.000000   -0.157751    0.087357
  645.000000   -0.085574    0.022910
  675.000000   -0.060669    0.030053
  705.000000    0.098553    0.050185
  735.000000    0.007216    0.062750
  765.000000   -0.011673    0.027311
  795.000000   -0.076676    0.044474
  825.000000   -0.092233    0.033000
  855.000000   -0.227246    0.055681
  885.000000   -0.327981    0.071044
  915.000000   -0.373994    0.050381
  945.000000   -0.522288    0.059676
  975.000000   -0.517262    0.055799
 1005.000000   -0.515699    0.043556
 1035.000000   -0.377803    0.075802
 1065.000000   -0.454497    0.072690
 1095.000000   -0.380399    0.108918
 1125.000000   -0.229310    0.151254
 1155.000000   -0.175837    0.103832
 1185.000000   -0.228517    0.191650
 1215.000000   -0.186496    0.305456
 1245.000000   -0.272787    0.208511
 1275.000000   -0.137091    0.184734
 1305.000000   -0.331178    0.156664
